*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=clock_module_v1.4c
*Date=19:49:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;330;1206 [SMD];10.4632;-51.9586;180;Top;R3
2;;;30.0132;-80.4587;0;Bottom;Via57
3;;;30.0132;-67.9586;0;Bottom;Via56
4;;;12.8156;-85.827;0;Bottom;TXT11
5;40k;1206 [SMD];85.5208;-19.4087;-90;Top;R17
6;;SO16 [SMD];79.4398;-50.3122;-90;Top;U2
7;;;83.7474;-1.69119;0;Bottom;TXT21
8;;;71.0132;-48.9586;0;Bottom;Via42
9;;1206 [SMD];26.8915;-8.94416;120;Bottom;D5
10;;;12.0463;-87.8576;0;Bottom;TXT12
11;;;85.9194;-81.5256;0;Bottom;TXT9
12;330;1206 [SMD];10.4632;-43.9586;180;Top;R5
13;;;12.8156;-83.8207;0;Bottom;TXT10
14;;;42.0132;-92.9587;0;Bottom;Via62
15;;SO16 [SMD];20.0866;-50.605;90;Top;U1
16;;;94.6428;-29.6973;0;Bottom;Via64
17;;;27.0132;-64.9586;0;Bottom;Via67
18;;;85.1502;-85.6461;0;Bottom;TXT11
19;10k;1206 [SMD];59.5632;-94.9587;0;Top;R13
20;;;60.2011;-76.3934;0;Bottom;Via27
21;330;1206 [SMD];89.0632;-55.9586;0;Top;R11
22;;;42.4137;-83.9586;0;Bottom;Via6
23;330;1206 [SMD];89.0632;-43.9586;0;Top;R8
24;;;67.9414;-80.4827;0;Bottom;Via13
25;;;85.9194;-79.4804;0;Bottom;TXT8
26;330;1206 [SMD];10.4632;-59.9586;180;Top;R1
27;;;50.1249;-81.6378;-90;Bottom;NANO
28;;;9.01323;-29.9586;0;Bottom;Via45
29;330;1206 [SMD];10.4632;-39.9586;180;Top;R6
30;;1206 [SMD];3.44607;-49.7999;180;Bottom;D3
31;330;1206 [SMD];89.0632;-59.9586;0;Top;R12
32;10k;1206 [SMD];40.4632;-94.9587;180;Top;R14
33;;;87.0132;-33.9586;0;Bottom;Via34
34;;;27.0132;-71.4586;0;Bottom;Via66
35;100nF;1206 [SMD, multilayer];96.5131;-81.5086;-90;Top;C2
36;;;95.9138;-4.24423;0;Bottom;Hole1
37;;;45.0132;-4.95866;0;Bottom;Via43
38;;;24.0132;-12.9585;0;Bottom;Via44
39;;;7.01312;-51.9586;0;Bottom;Via54
40;;;13.0132;-69.9586;0;Bottom;Via48
41;;;84.0132;-69.9586;0;Bottom;Via36
42;;1206 [SMD];91.1833;-26.1239;30;Bottom;D8
43;;1206 [SMD];96.4631;-49.9586;0;Bottom;D9
44;;1206 [SMD];89.6709;-73.1836;-30;Bottom;D10
45;;1206 [SMD];74.1545;-90.5919;-60;Bottom;D11
46;;1206 [SMD];50.0132;-3.50856;90;Bottom;D6
47;;;4.63948;-95.0255;0;Bottom;Hole2
48;;;10.0131;-69.9586;0;Bottom;Via47
49;330;1206 [SMD];89.0632;-51.9586;0;Top;R10
50;100nF;1206 [SMD, multilayer];80.0632;-42.9586;0;Top;C4
51;;;90.0133;-69.9586;0;Bottom;Via31
52;;1206 [SMD];9.74411;-26.2463;150;Bottom;D4
53;;;47.5132;-86.9586;0;Bottom;Via9
